Region,Subregion,name,Drug,retail_price,retail_unit,retail_year,wholesale_price,wholesale_unit,wholesale_year
Europe,Western & Central Europe,Hungary,Cocaine salts,63.96,Gram,2014,39478.41,Kilogram,2014
Europe,Western & Central Europe,Poland,Coca paste/cocaine base,63.24,Gram,2008,39535.00,Kilogram,2008
Africa,Southern Africa,Zimbabwe,Crack,80.00,Gram,2008,40000.00,Kilogram,2008
Asia,Near and Middle East /South-West Asia,Lebanon,Cocaine salts,70.00,Gram,2012,40000.00,Kilogram,2012
Asia,Near and Middle East /South-West Asia,Syrian Arab Republic,Cocaine salts,50.00,Gram,2007,40000.00,Kilogram,2007
Europe,Western & Central Europe,Ireland,Crack,105.28,Gram,2014,40009.70,Kilogram,2013
Africa,Eastern Africa,United Republic of Tanzania,Cocaine salts,27.27,Gram,2015,40909.09,Kilogram,2015
Europe,Western & Central Europe,Netherlands,Cocaine salts,69.35,Gram,2014,41596.02,Kilogram,2010
Europe,Western & Central Europe,Belgium,Cocaine salts,68.18,Gram,2013,44010.67,Kilogram,2013
Asia,East and South-East Asia,Thailand,Coca paste/cocaine base,,Gram,2008,44590.00,Kilogram,2006
Europe,Western & Central Europe,Spain,Cocaine salts,75.76,Gram,2014,44856.68,Kilogram,2014
Asia,Near and Middle East /South-West Asia,Syrian Arab Republic,Coca paste/cocaine base,50.00,Gram,2007,45000.00,Kilogram,2008
Europe,Eastern Europe,Republic of Moldova,Coca paste/cocaine base,155.42,Gram,2008,45000.00,Kilogram,2008
Africa,Western and Central Africa,Ghana,Cocaine salts,,,,46000.00,Kilogram,2010
Europe,Western & Central Europe,France,Cocaine salts,85.54,Gram,2014,46058.14,Kilogram,2014
Asia,East and South-East Asia,"Hong Kong SAR, China",Cocaine salts,130.69,Gram,2014,46209.82,Kilogram,2014
Europe,South-Eastern Europe,Croatia,Cocaine salts,,,,46364.98,Kilogram,2010
Americas,Northern America,Canada,Cocaine salts,85.98,Gram,2014,47291.49,Kilogram,2014
Europe,Western & Central Europe,Denmark,Cocaine salts,92.49,Gram,2013,49140.05,Kilogram,2014
Europe,South-Eastern Europe,Serbia,Cocaine salts,141.00,Gram,2014,49395.00,Kilogram,2014
Africa,Northern Africa,Morocco,Coca paste/cocaine base,105.88,Gram,2011,49825.61,Kilogram,2011
Europe,South-Eastern Europe,Bulgaria,Cocaine salts,81.00,Gram,2014,49844.23,Kilogram,2014
Europe,Western & Central Europe,Germany,Cocaine salts,100.14,Gram,2014,50128.36,Kilogram,2014
Asia,East and South-East Asia,China,Cocaine salts,59.44,Gram,2014,51405.63,Kilogram,2014
Europe,South-Eastern Europe,Serbia,Coca paste/cocaine base,88.24,Gram,2008,51471.00,Kilogram,2008
Europe,Western & Central Europe,Italy,Cocaine salts,93.54,Gram,2014,52081.99,Kilogram,2014
Europe,South-Eastern Europe,Albania,Cocaine salts,78.96,Gram,2014,52637.88,Kilogram,2014
Europe,South-Eastern Europe,The former Yugoslav Republic of Macedonia,Cocaine salts,85.54,Gram,2014,52637.88,Kilogram,2014
Europe,Western & Central Europe,Switzerland,Cocaine salts,78.01,Gram,2014,52684.91,Kilogram,2014
Asia,East and South-East Asia,Malaysia,Cocaine salts,,,,53620.00,Kilogram,2006
Asia,Near and Middle East /South-West Asia,Lebanon,Coca paste/cocaine base,60.00,Gram,2007,55000.00,Kilogram,2007
Europe,Western & Central Europe,Slovenia,Cocaine salts,85.54,Gram,2014,55269.77,Kilogram,2014
Europe,South-Eastern Europe,Bosnia and Herzegovina,Coca paste/cocaine base,70.61,Gram,2009,56489.27,Kilogram,2009
Europe,Western & Central Europe,Lithuania,Cocaine salts,,,,58864.27,Kilogram,2010
Africa,Eastern Africa,United Republic of Tanzania,Coca paste/cocaine base,5.00,Gram,2009,60000.00,Kilogram,2009
Europe,Western & Central Europe,United Kingdom,Cocaine salts,,,,62111.80,Kilogram,2014
Europe,Western & Central Europe,Greece,Cocaine salts,111.86,Gram,2014,62507.48,Kilogram,2014
Asia,East and South-East Asia,Malaysia,Coca paste/cocaine base,,,,62696.00,Kilogram,2009
Europe,Western & Central Europe,Austria,Crack,111.69,Gram,2011,62822.84,Kilogram,2011
Europe,Western & Central Europe,Malta,Cocaine salts,89.48,Gram,2014,64432.99,Kilogram,2012
Europe,South-Eastern Europe,Montenegro,Cocaine salts,111.86,Gram,2014,65797.34,Kilogram,2014
Europe,Western & Central Europe,Austria,Cocaine salts,131.59,Gram,2014,65797.34,Kilogram,2014
Europe,Western & Central Europe,Finland,Coca paste/cocaine base,,,,66176.00,Kilogram,2008
Africa,Southern Africa,Namibia,Cocaine salts,70.84,Gram,2007,68119.89,Kilogram,2004
Asia,East and South-East Asia,Japan,Coca paste/cocaine base,,,,68887.00,Kilogram,2008
Europe,Western & Central Europe,Greece,Coca paste/cocaine base,110.29,Gram,2008,69853.00,Kilogram,2008
Europe,Western & Central Europe,Hungary,Coca paste/cocaine base,,,,70220.81,Kilogram,2009
Africa,Northern Africa,Algeria,Cocaine salts,140.31,Gram,2013,74534.88,Kilogram,2014
