country,region,subregion,specifics,,retail_price,retail_punit,retail_year,wholesale_price,wholesale_unit,wholesale_year
Saint Lucia,Americas,Caribbean,Marijuana (herb),,3.7,Gram,2004,298.5,Kilogram,2004
Grenada,Americas,Caribbean,Marijuana (herb),,1.8,Gram,2005,295.1,Kilogram,2005
Dominican Republic,Americas,Caribbean,Marijuana (herb),,0.3,Gram,2014,280,Kilogram,2014
Albania,Europe,South-Eastern Europe,Hashish (resin),,,,,275,Kilogram,2006
Congo,Africa,Western and Central Africa,Hashish (resin),,0.3,Gram,2004,27.8,Kilogram,2004
Mali,Africa,Western and Central Africa,Marijuana (herb),,0.2,Gram,2007,26.1,Kilogram,2007
El Salvador,Americas,Central America,Marijuana (herb),,0.5,Gram,2013,250,Kilogram,2014
Kazakhstan,Asia,Central Asia and Transcaucasian countries,Marijuana (herb),,1.6,Gram,2014,250,Kilogram,2014
Armenia,Asia,Central Asia and Transcaucasian countries,Hashish (resin),,,,,25000,Kilogram,2013
Honduras,Americas,Central America,Marijuana (herb),,1.8,Gram,2008,231.2,Kilogram,2008
Mexico,Americas,Northern America,Hashish (resin),,,,,23622,Kilogram,2010
Saint Vincent and the Grenadines,Americas,Caribbean,Marijuana (herb),,,,,221,Kilogram,2008
Nicaragua,Americas,Central America,Marijuana (herb),,1,Gram,2014,220,Kilogram,2014
South Africa,Africa,Southern Africa,Marijuana (herb),,0.1,Gram,2007,22.7,Kilogram,2004
Slovakia,Europe,Western & Central Europe,Hashish (resin),,,,,22058.8,Kilogram,2008
Paraguay,Americas,South America,Marijuana (herb),,0.6,Gram,2014,21.6,Kilogram,2014
Paraguay,Americas,South America,Hashish (resin),,,,2014,2.2,Kilogram,2014
Italy,Europe,Western & Central Europe,Hashish (resin),,13.8,Gram,2014,2963.9,Kilogram,2014
Hong Kong SAR,Asia,East and South-East Asia,Marijuana (herb),,15.3,Gram,2014,2899.9,Kilogram,2014
France,Europe,Western & Central Europe,Hashish (resin),,8.6,Gram,2014,2763.5,Kilogram,2014
Croatia,Europe,South-Eastern Europe,Marijuana (herb),,7.9,Gram,2010,2649.4,Kilogram,2010
Netherlands,Europe,Western & Central Europe,Hashish (resin),,11.7,Gram,2014,2603.5,Kilogram,2007
Hungary,Europe,Western & Central Europe,Hashish (resin),,10.7,Gram,2014,2590.3,Kilogram,2006
Azerbaijan,Asia,Central Asia and Transcaucasian countries,Hashish (resin),,6,Gram,2014,2500,Kilogram,2014
Kazakhstan,Asia,Central Asia and Transcaucasian countries,Hashish (resin),,3.6,Gram,2014,2500,Kilogram,2014
Hong Kong SAR,Asia,East and South-East Asia,Hashish (resin),,9.2,Gram,2014,2448.8,Kilogram,2014
Macao SAR,Asia,East and South-East Asia,Marijuana (herb),,12,Gram,2014,2350,Kilogram,2014
Jamaica,Americas,Caribbean,Hashish (resin),,,,,2284.6,Kilogram,2012
Bahamas,Americas,Caribbean,Hashish (resin),,20,Gram,2008,2230,Kilogram,2008
Lithuania,Europe,Western & Central Europe,Hashish (resin),,15.2,Gram,2014,2200,Kilogram,2013
Dominica,Americas,Caribbean,Marijuana (herb),,32.5,Gram,2005,2150,Kilogram,2005
Spain,Europe,Western & Central Europe,Hashish (resin),,7.3,Gram,2014,2089.7,Kilogram,2014
Oman,Asia,Near and Middle East /South-West Asia,Hashish (resin),,38.8,Gram,2007,2071.7,Kilogram,2007
Kyrgyzstan,Asia,Central Asia and Transcaucasian countries,Hashish (resin),,4,Gram,2014,2000,Kilogram,2014
Belize,Americas,Central America,Marijuana (herb),,2.5,Gram,2007,198.6,Kilogram,2007
China,Asia,East and South-East Asia,Marijuana (herb),,28,Gram,2014,19277.1,Kilogram,2014
India,Asia,Near and Middle East /South-West Asia,Marijuana (herb),,0.1,Gram,2012,19,Kilogram,2012
Congo,Africa,Western and Central Africa,Marijuana (herb),,0.2,Gram,2006,18.4,Kilogram,2006
Mongolia,Asia,East and South-East Asia,Marijuana (herb),,4,Gram,2012,170,Kilogram,2012
Côte d'Ivoire,Africa,Western and Central Africa,Marijuana (herb),,0.3,Gram,2009,17.3,Kilogram,2009
Israel,Asia,Near and Middle East /South-West Asia,Marijuana (herb),,,,,16611.3,Kilogram,2014
Gabon,Africa,Western and Central Africa,Marijuana (herb),,1.8,Gram,2006,150,Kilogram,2006
Uganda,Africa,Eastern Africa,Marijuana (herb),,0.1,Gram,2005,150,Kilogram,2005
Zimbabwe,Africa,Southern Africa,Marijuana (herb),,1,Gram,2008,150,Kilogram,2008
Guyana,Americas,South America,Marijuana (herb),,1.5,Gram,2009,150,Kilogram,2009
Jamaica,Americas,Caribbean,Cannabis oil,,,,,150,Kilogram,2006
Madagascar,Africa,Eastern Africa,Marijuana (herb),,,,,15055.9,Kilogram,2006
Senegal,Africa,Western and Central Africa,Marijuana (herb),,,,,147.5,Kilogram,2006
Zambia,Africa,Southern Africa,Marijuana (herb),,0.2,Gram,2009,147,Kilogram,2009
Brazil,Americas,South America,Hashish (resin),,2,Gram,2005,14892.8,Kilogram,2011
Turkmenistan,Asia,Central Asia and Transcaucasian countries,Marijuana (herb),,22.8,Gram,2014,14425,Kilogram,2014
Jamaica,Americas,Caribbean,Marijuana (herb),,1.4,Gram,2008,137.1,Kilogram,2012
Peru,Americas,South America,Marijuana (herb),,1.9,Gram,2012,134,Kilogram,2011
Estonia,Europe,Western & Central Europe,Marijuana (herb),,26.3,Gram,2014,13159.5,Kilogram,2014
Bermuda,Americas,Caribbean,Hashish (resin),,,,,13130,Kilogram,2006
Burkina Faso,Africa,Western and Central Africa,Marijuana (herb),,0.6,Gram,2008,13,Kilogram,2008
Madagascar,Africa,Eastern Africa,Hashish (resin),,0.3,Gram,2006,125.5,Kilogram,2006
Bangladesh,Asia,Near and Middle East /South-West Asia,Marijuana (herb),,1.3,Gram,2008,125,Kilogram,2008
Venezuela (Bolivarian Republic of),Americas,South America,Marijuana (herb),,1.9,Gram,2006,120,Kilogram,2006
Canada,Americas,Northern America,Marijuana (herb),,12.9,Gram,2014,12897.7,Kilogram,2014
Anguilla,Americas,Caribbean,Cannabis oil,,12.5,Gram,2005,12500,Kilogram,2005
Anguilla,Americas,Caribbean,Marijuana (herb),,12.5,Gram,2005,12500,Kilogram,2005
Australia,Oceania,Oceania,Cannabis oil,,51.8,Gram,2012,12440.8,Kilogram,2012
Sri Lanka,Asia,Near and Middle East /South-West Asia,Marijuana (herb),,0.2,Gram,2013,114.7,Kilogram,2013
Bolivia (Plurinational State of),Americas,South America,Marijuana (herb),,2.2,Gram,2012,110,Kilogram,2014
Saudi Arabia,Asia,Near and Middle East /South-West Asia,Hashish (resin),,26.7,Gram,2010,11466.7,Kilogram,2008
United States of America,Americas,Northern America,Marijuana (herb),,18.2,Gram,2014,11330,Kilogram,2014
Cameroon,Africa,Western and Central Africa,Marijuana (herb),,,,,104.4,Kilogram,2007
Afghanistan,Asia,Near and Middle East /South-West Asia,Hashish (resin),,0.2,Gram,2013,103,Kilogram,2013
Australia,Oceania,Oceania,Hashish (resin),,,,,10626.5,Kilogram,2012
Canada,Americas,Northern America,Hashish (resin),,17.2,Gram,2014,10309.3,Kilogram,2013
Israel,Asia,Near and Middle East /South-West Asia,Hashish (resin),,5,Gram,2008,10222.3,Kilogram,2014
Lebanon,Asia,Near and Middle East /South-West Asia,Hashish (resin),,20,Gram,2011,10000,Kilogram,2012
Central African Republic,Africa,Western and Central Africa,Marijuana (herb),,0.1,Gram,2006,10,Kilogram,2006
Guinea,Africa,Western and Central Africa,Marijuana (herb),,,,,10,Kilogram,2006
Malawi,Africa,Southern Africa,Marijuana (herb),,0.2,Gram,2006,10,Kilogram,2006
Italy,Europe,Western & Central Europe,Marijuana (herb),,10.5,Gram,2014,1983.9,Kilogram,2014
Chile,Americas,South America,Marijuana (herb),,2.3,Gram,2014,1976.9,Kilogram,2014
Albania,Europe,South-Eastern Europe,Marijuana (herb),,,,,1973.9,Kilogram,2014
Bahamas,Americas,Caribbean,Cannabis oil,,35,Gram,2004,1800,Kilogram,2009
Bahamas,Americas,Caribbean,Marijuana (herb),,5,Gram,2009,1800,Kilogram,2009
Republic of Moldova,Europe,Eastern Europe,Marijuana (herb),,1.8,Gram,2014,1764,Kilogram,2014
United Kingdom,Europe,Western & Central Europe,Hashish (resin),,4.4,Gram,2014,1552.8,Kilogram,2014
United Kingdom,Europe,Western & Central Europe,Marijuana (herb),,4.4,Gram,2014,1552.8,Kilogram,2014
Turkey,Europe,South-Eastern Europe,Hashish (resin),,11.2,Gram,2014,1500.2,Kilogram,2014
Spain,Europe,Western & Central Europe,Marijuana (herb),,6.2,Gram,2014,1468.6,Kilogram,2014
